,Mes,temperature_2m_max,temperature_2m_min,precipitation_sum,winddirection_10m_dominant,SEREMI
35,2016-12,19.10967741935484,13.983870967741936,24.1,242.1290322580645,Valparaíso San Antonio
36,2017-01,25.606451612903225,14.02258064516129,0.0,263.64516129032256,Valparaíso San Antonio
37,2017-02,23.175,13.528571428571428,0.0,270.25,Valparaíso San Antonio
38,2017-03,22.606451612903225,12.180645161290323,0.1,253.74193548387095,Valparaíso San Antonio
39,2017-04,21.383333333333333,9.91,9.6,209.36666666666667,Valparaíso San Antonio
40,2017-05,16.374193548387098,7.84516129032258,97.0,200.6451612903226,Valparaíso San Antonio
41,2017-06,15.153333333333334,6.003333333333333,173.5,169.9,Valparaíso San Antonio
42,2017-07,15.067741935483872,4.774193548387097,36.6,171.74193548387098,Valparaíso San Antonio
43,2017-08,14.429032258064517,5.361290322580645,70.10000000000001,202.5483870967742,Valparaíso San Antonio
44,2017-09,16.663333333333334,7.35,9.8,231.33333333333331,Valparaíso San Antonio
45,2017-10,18.89354838709677,7.945161290322581,35.7,224.5483870967742,Valparaíso San Antonio
46,2017-11,21.206666666666667,10.526666666666667,6.5,251.06666666666663,Valparaíso San Antonio
47,2017-12,22.79032258064516,12.038709677419355,0.3,260.2258064516129,Valparaíso San Antonio
48,2018-01,22.65806451612903,12.90967741935484,0.2,270.1935483870968,Valparaíso San Antonio
49,2018-02,22.264285714285712,13.385714285714286,0.0,276.1428571428572,Valparaíso San Antonio
50,2018-03,23.177419354838708,11.551612903225807,4.0,244.67741935483872,Valparaíso San Antonio
51,2018-04,19.78,9.386666666666668,1.2,250.76666666666668,Valparaíso San Antonio
52,2018-05,18.116129032258065,7.690322580645161,35.5,200.6451612903226,Valparaíso San Antonio
53,2018-06,14.966666666666669,4.33,94.7,191.16666666666663,Valparaíso San Antonio
54,2018-07,13.851612903225806,4.441935483870967,94.5,169.61290322580646,Valparaíso San Antonio
55,2018-08,15.40967741935484,5.290322580645161,18.2,207.58064516129036,Valparaíso San Antonio
56,2018-09,18.62333333333333,7.63,21.1,230.2333333333333,Valparaíso San Antonio
57,2018-10,19.406451612903226,8.264516129032257,5.0,241.0,Valparaíso San Antonio
58,2018-11,23.63,10.423333333333334,2.5,244.6,Valparaíso San Antonio
59,2018-12,21.95483870967742,11.464516129032257,0.2,253.6451612903226,Valparaíso San Antonio
60,2019-01,22.44516129032258,12.029032258064516,0.4,277.48387096774195,Valparaíso San Antonio
