,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
41,2017-06-01,300.0,70.0,70.0,1.0,23.33,1.4,7.14,14.0,10.0,5.0,18.07,13.406666666666666,15.8,False,True,6,2,310.0,300.0,310.0,303.3333333333333,-10.0,0.23333333333333334,50.0,10.0,10.666666666666666,0.3333333333333333,4.663333333333334,19.71068100358423,6.0,4.216333333333333,4740.0,300.0,286.3636363636364
42,2017-07-01,310.0,74.0,74.0,0.0,23.87,1.8,0.0,18.0,10.0,4.11,17.448387096774194,12.496774193548386,0.1,False,True,7,3,300.0,310.0,300.0,306.6666666666667,10.0,0.23870967741935484,57.333333333333336,10.0,13.0,0.3333333333333333,4.951612903225808,18.519032258064517,5.966666666666668,4.165098855359001,31.0,310.0,295.90909090909093
43,2017-08-01,310.0,238.0,238.0,0.0,76.77,2.3,0.0,23.0,10.0,10.35,17.200000000000003,12.37741935483871,1.6,False,True,8,3,310.0,300.0,310.0,306.6666666666667,0.0,0.7677419354838709,127.33333333333333,10.0,18.333333333333332,0.3333333333333333,4.822580645161294,17.572795698924732,5.833333333333333,13.205161290322582,496.0,310.0,295.90909090909093
44,2017-09-01,300.0,117.0,117.0,0.0,39.0,1.5,0.0,15.0,10.0,7.8,17.709999999999997,12.586666666666668,0.5,False,True,9,3,310.0,310.0,300.0,306.6666666666667,-10.0,0.39,143.0,10.0,18.666666666666668,0.0,5.1233333333333295,17.45279569892473,0.7333333333333334,6.906899999999999,150.0,300.0,286.3636363636364
45,2017-10-01,300.0,70.0,70.0,0.0,23.33,1.24,0.0,12.0,9.68,5.83,18.248387096774195,13.112903225806452,0.7000000000000001,False,True,10,4,300.0,310.0,310.0,303.3333333333333,0.0,0.23333333333333334,141.66666666666666,9.893333333333333,16.666666666666668,0.0,5.135483870967743,17.719462365591397,0.9333333333333335,4.257956989247313,210.00000000000003,310.0,294.1818181818182
46,2017-11-01,300.0,154.0,154.0,1.0,51.33,1.7,5.88,17.0,10.0,9.06,19.40333333333333,14.503333333333334,0.0,False,True,11,4,300.0,300.0,310.0,300.0,0.0,0.5133333333333333,113.66666666666667,9.893333333333333,14.666666666666666,0.3333333333333333,4.899999999999995,18.45390681003584,0.4000000000000001,9.960377777777776,0.0,300.0,286.3636363636364
47,2017-12-01,310.0,44.0,44.0,0.0,14.19,1.2,0.0,12.0,10.0,3.67,21.10967741935484,16.50967741935484,0.3,False,True,12,4,300.0,300.0,300.0,303.3333333333333,10.0,0.14193548387096774,89.33333333333333,9.893333333333333,13.666666666666666,0.3333333333333333,4.599999999999998,19.587132616487455,0.3333333333333333,2.9962122788761705,93.0,310.0,294.27272727272725
48,2018-01-01,310.0,78.0,78.0,1.0,25.16,2.0,5.0,20.0,10.0,3.9,22.55483870967742,18.42903225806452,0.8,False,True,1,1,310.0,300.0,300.0,306.6666666666667,0.0,0.25161290322580643,92.0,10.0,16.333333333333332,0.6666666666666666,4.125806451612899,21.022616487455196,0.3666666666666667,5.675088449531737,248.0,310.0,294.5
49,2018-02-01,280.0,56.0,56.0,1.0,20.0,1.4,7.14,14.0,10.0,4.0,24.057142857142857,19.38214285714286,0.1,False,True,2,1,310.0,310.0,300.0,300.0,-30.0,0.2,59.333333333333336,10.0,15.333333333333334,0.6666666666666666,4.674999999999997,22.573886328725038,0.39999999999999997,4.811428571428571,28.0,280.0,268.3333333333333
50,2018-03-01,310.0,84.0,84.0,0.0,27.1,1.2,0.0,12.0,10.0,7.0,22.200000000000003,17.37741935483871,0.2,False,True,3,1,280.0,310.0,310.0,300.0,30.0,0.2709677419354839,72.66666666666667,10.0,15.333333333333334,0.6666666666666666,4.822580645161292,22.937327188940092,0.36666666666666664,6.015483870967743,62.0,310.0,295.90909090909093
51,2018-04-01,300.0,76.0,76.0,0.0,25.33,1.2,0.0,12.0,10.0,6.33,20.746666666666663,16.363333333333333,0.3,False,True,4,2,310.0,280.0,310.0,296.6666666666667,-10.0,0.25333333333333335,72.0,10.0,12.666666666666666,0.3333333333333333,4.383333333333329,22.334603174603174,0.19999999999999996,5.255822222222221,90.0,300.0,286.3636363636364
52,2018-05-01,310.0,120.0,120.0,1.0,38.71,2.5,4.0,25.0,10.0,4.8,18.751612903225805,13.883870967741936,0.2,False,True,5,2,300.0,310.0,280.0,306.6666666666667,10.0,0.3870967741935484,93.33333333333333,10.0,16.333333333333332,0.3333333333333333,4.867741935483869,20.566093189964157,0.2333333333333333,7.258688865764827,62.0,310.0,295.90909090909093
53,2018-06-01,300.0,71.0,71.0,0.0,23.67,1.9,0.0,19.0,10.0,3.74,17.64333333333333,12.74,1.4,False,True,6,2,310.0,300.0,310.0,303.3333333333333,-10.0,0.23666666666666666,89.0,10.0,18.666666666666668,0.3333333333333333,4.903333333333331,19.047204301075265,0.6333333333333333,4.175588888888888,420.0,300.0,286.3636363636364
54,2018-07-01,310.0,53.0,53.0,0.0,17.1,0.8,0.0,8.0,10.0,6.63,17.39032258064516,12.548387096774194,3.3,False,True,7,3,300.0,310.0,300.0,306.6666666666667,10.0,0.17096774193548386,81.33333333333333,10.0,17.333333333333332,0.3333333333333333,4.841935483870968,17.9284229390681,1.6333333333333335,2.9731841831425596,1023.0,310.0,295.90909090909093
55,2018-08-01,310.0,128.0,128.0,0.0,41.29,1.3,0.0,13.0,10.0,9.85,16.825806451612905,12.083870967741936,1.5,False,True,8,3,310.0,300.0,310.0,306.6666666666667,0.0,0.4129032258064516,84.0,10.0,13.333333333333334,0.0,4.74193548387097,17.286487455197133,2.0666666666666664,6.947429760665973,465.0,310.0,295.90909090909093
56,2018-09-01,300.0,73.0,73.0,0.0,24.33,1.8,0.0,18.0,10.0,4.06,17.743333333333332,12.423333333333334,0.3,False,True,9,3,310.0,310.0,300.0,306.6666666666667,-10.0,0.24333333333333335,84.66666666666667,10.0,13.0,0.0,5.3199999999999985,17.319820788530468,1.7,4.317544444444445,90.0,300.0,286.3636363636364
57,2018-10-01,310.0,82.0,82.0,2.0,26.45,1.9,10.53,19.0,10.0,4.32,18.43870967741936,13.851612903225806,0.8,False,True,10,4,300.0,310.0,310.0,306.6666666666667,10.0,0.2645161290322581,94.33333333333333,10.0,16.666666666666668,0.6666666666666666,4.587096774193554,17.669283154121867,0.8666666666666667,4.8773361082206055,248.0,300.0,294.1818181818182
58,2018-11-01,300.0,131.0,131.0,1.0,43.67,1.9,5.26,19.0,10.0,6.89,19.98333333333333,15.133333333333333,0.1,False,True,11,4,310.0,300.0,310.0,303.3333333333333,-10.0,0.43666666666666665,95.33333333333333,10.0,18.666666666666668,1.0,4.849999999999998,18.721792114695344,0.4000000000000001,8.726055555555554,30.0,300.0,286.3636363636364
59,2018-12-01,310.0,56.0,56.0,0.0,18.06,1.7,0.0,17.0,10.0,3.29,20.92903225806452,16.174193548387095,0.2,False,True,12,4,300.0,310.0,300.0,306.6666666666667,10.0,0.18064516129032257,89.66666666666667,10.0,18.333333333333332,1.0,4.754838709677426,19.783691756272404,0.3666666666666667,3.780728407908429,62.0,310.0,294.27272727272725
60,2019-01-01,310.0,40.0,40.0,0.0,12.9,1.3,0.0,13.0,10.0,3.08,23.270967741935483,18.654838709677417,0.4,False,True,1,1,310.0,300.0,310.0,306.6666666666667,0.0,0.12903225806451613,75.66666666666667,10.0,16.333333333333332,0.3333333333333333,4.6161290322580655,21.394444444444446,0.23333333333333336,3.0027055150884494,124.0,310.0,294.5
61,2019-02-01,280.0,81.0,81.0,0.0,28.93,1.9,0.0,19.0,10.0,4.26,23.81428571428572,19.557142857142857,1.7,False,True,2,1,310.0,310.0,300.0,300.0,-30.0,0.2892857142857143,59.0,10.0,16.333333333333332,0.0,4.257142857142863,22.671428571428574,0.7666666666666666,6.8891326530612265,476.0,280.0,268.3333333333333
62,2019-03-01,310.0,110.0,110.0,0.0,35.48,1.6,0.0,16.0,10.0,6.88,22.01290322580645,17.36774193548387,0.8,False,True,3,1,280.0,310.0,310.0,300.0,30.0,0.3548387096774194,77.0,10.0,16.0,0.0,4.64516129032258,23.032718894009218,0.9666666666666667,7.811030176899063,248.0,310.0,295.90909090909093
63,2019-04-01,300.0,68.0,68.0,1.0,22.67,1.1,9.09,11.0,10.0,6.18,20.633333333333333,15.936666666666667,2.4,False,True,4,2,310.0,280.0,310.0,296.6666666666667,-10.0,0.22666666666666666,86.33333333333333,10.0,15.333333333333334,0.3333333333333333,4.696666666666665,22.15350742447517,1.6333333333333335,4.676888888888889,720.0,300.0,286.3636363636364
64,2019-05-01,310.0,131.0,131.0,2.0,42.26,1.9,10.53,19.0,10.0,6.89,18.63225806451613,13.803225806451612,1.3,False,True,5,2,300.0,310.0,280.0,306.6666666666667,10.0,0.42258064516129035,103.0,10.0,15.333333333333334,1.0,4.829032258064517,20.426164874551972,1.5,7.873631633714881,403.0,310.0,295.90909090909093
65,2019-06-01,300.0,114.0,114.0,0.0,38.0,1.2,0.0,12.0,10.0,9.5,17.613333333333333,12.886666666666668,0.2,False,True,6,2,310.0,300.0,310.0,303.3333333333333,-10.0,0.38,104.33333333333333,10.0,14.0,1.0,4.726666666666665,18.959641577060932,1.3,6.693066666666667,60.0,300.0,286.3636363636364
66,2019-07-01,310.0,101.0,101.0,0.0,32.58,1.2,0.0,12.0,10.0,8.42,16.79032258064516,12.21935483870968,1.8,False,True,7,3,300.0,310.0,300.0,306.6666666666667,10.0,0.3258064516129032,115.33333333333333,10.0,14.333333333333334,0.6666666666666666,4.57096774193548,17.678637992831543,1.0999999999999999,5.470395421436004,558.0,310.0,295.90909090909093
67,2019-08-01,310.0,89.0,89.0,1.0,28.71,2.1,4.76,21.0,10.0,4.24,17.32903225806452,12.36774193548387,0.7000000000000001,False,True,8,3,310.0,300.0,310.0,306.6666666666667,0.0,0.2870967741935484,101.33333333333333,10.0,15.0,0.3333333333333333,4.961290322580648,17.244229390681003,0.9,4.975109261186265,217.00000000000003,310.0,295.90909090909093
68,2019-09-01,300.0,54.0,54.0,0.0,18.0,1.9,0.0,19.0,10.0,2.84,16.87333333333333,12.366666666666667,2.8,False,True,9,3,310.0,310.0,300.0,306.6666666666667,-10.0,0.18,81.33333333333333,10.0,17.333333333333332,0.3333333333333333,4.506666666666664,16.997562724014337,1.7666666666666666,3.0371999999999995,840.0,300.0,286.3636363636364
69,2019-10-01,310.0,55.0,55.0,0.0,17.74,1.3,0.0,13.0,10.0,4.23,18.31612903225807,13.380645161290325,2.2,False,True,10,4,300.0,310.0,310.0,306.6666666666667,10.0,0.1774193548387097,66.0,10.0,17.666666666666668,0.3333333333333333,4.935483870967744,17.506164874551974,1.9000000000000001,3.2496357960457867,682.0,310.0,294.1818181818182
