,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
32,2016-09-01,3866.0,3253.0,3157.0,12.0,84.14,4.86,1.92,626.0,128.87,5.04,13.346666666666666,5.9,106.1,False,False,True,False,9,3,3999.0,3999.0,3870.0,3954.6666666666665,-133.0,0.8414381789963787,3211.3333333333335,128.95666666666668,626.3333333333334,15.666666666666666,7.446666666666665,11.562867383512545,146.39999999999998,11.230394895671667,410182.6,3940.0,3834.090909090909
33,2016-10-01,3999.0,3191.0,3018.0,19.0,79.79,4.6,3.2,593.0,129.0,5.09,14.606451612903228,7.206451612903226,79.6,False,False,True,False,10,4,3866.0,3999.0,3999.0,3954.6666666666665,133.0,0.797949487371843,3230.3333333333335,128.95666666666668,622.3333333333334,17.0,7.400000000000002,13.037060931899644,127.59999999999998,11.65521057683776,318320.39999999997,3999.0,3927.818181818182
34,2016-11-01,3870.0,3200.0,3202.0,17.0,82.69,5.16,2.56,665.0,129.0,4.82,16.083333333333332,8.81,73.7,False,False,True,False,11,4,3999.0,3866.0,3999.0,3911.6666666666665,-129.0,0.8268733850129198,3214.6666666666665,128.95666666666668,628.0,16.0,7.273333333333332,14.678817204301074,86.46666666666664,13.29888027562446,285219.0,3869.0,3749.090909090909
35,2016-12-01,3999.0,2891.0,2953.0,12.0,72.29,4.81,1.94,620.0,129.0,4.76,17.10967741935484,10.351612903225806,75.9,False,False,False,True,12,4,3870.0,3999.0,3866.0,3956.0,129.0,0.7229307326831708,3094.0,129.0,626.0,16.0,6.758064516129032,15.933154121863799,76.39999999999998,12.369111632746895,303524.10000000003,4008.0,3895.090909090909
36,2017-01-01,3996.0,2988.0,2830.0,6.0,74.77,4.13,1.13,532.0,128.9,5.32,19.12903225806452,10.787096774193548,48.6,False,False,True,False,1,1,3999.0,3870.0,3999.0,3955.0,-3.0,0.7477477477477478,3026.3333333333335,128.96666666666667,605.6666666666666,11.666666666666666,8.341935483870971,17.44068100358423,66.06666666666665,14.303690787561758,194205.6,3999.0,3933.0
37,2017-02-01,3611.0,2649.0,2613.0,14.0,73.36,4.18,2.6,539.0,128.96,4.85,20.79642857142857,11.564285714285717,99.1,False,False,True,False,2,1,3996.0,3999.0,3870.0,3868.6666666666665,-385.0,0.7335918028247023,2842.6666666666665,128.95333333333335,563.6666666666666,10.666666666666666,9.232142857142854,19.011712749615977,74.53333333333332,15.256089528029433,357850.1,3741.0,3590.0833333333335
38,2017-03-01,3999.0,3185.0,3333.0,12.0,79.64,4.34,2.14,560.0,129.0,5.95,17.983870967741936,9.674193548387096,78.7,False,False,True,False,3,1,3611.0,3996.0,3999.0,3868.6666666666665,388.0,0.7964491122780695,2940.6666666666665,128.95333333333335,543.6666666666666,10.666666666666666,8.30967741935484,19.30311059907834,75.46666666666665,14.32323806758141,314721.3,3999.0,3931.0
39,2017-04-01,3870.0,3194.0,3173.0,17.0,82.53,4.44,2.97,573.0,129.0,5.54,16.443333333333335,9.17,93.3,False,False,False,True,4,2,3999.0,3611.0,3996.0,3826.6666666666665,-129.0,0.8253229974160207,3009.3333333333335,128.98666666666665,557.3333333333334,14.333333333333334,7.273333333333335,18.40787762416795,90.36666666666666,13.571061154177434,361071.0,3853.0,3811.090909090909
40,2017-05-01,3919.0,3088.0,2992.0,15.0,78.8,4.31,2.75,545.0,126.42,5.49,12.725806451612904,6.738709677419355,206.2,False,False,True,False,5,2,3870.0,3999.0,3611.0,3929.3333333333335,49.0,0.7879561112528707,3155.6666666666665,128.14000000000001,559.3333333333334,14.666666666666666,5.987096774193549,15.717670250896058,126.06666666666665,10.027376964169596,808097.7999999999,3984.0,3931.5454545454545
41,2017-06-01,3807.0,3118.0,3379.0,21.0,81.9,4.82,3.43,612.0,126.9,5.52,9.72,4.613333333333333,238.9,False,False,True,False,6,2,3919.0,3870.0,3999.0,3865.3333333333335,-112.0,0.8190175991594432,3133.3333333333335,127.44,576.6666666666666,17.666666666666668,5.106666666666667,12.96304659498208,179.46666666666667,7.9608510638297885,909492.3,3870.0,3781.0
42,2017-07-01,3930.0,2962.0,4457.0,10.0,75.37,4.84,1.63,614.0,126.77,7.26,10.193548387096774,4.803225806451613,174.9,False,False,False,True,7,3,3807.0,3919.0,3870.0,3885.3333333333335,123.0,0.7536895674300255,3056.0,126.69666666666666,590.3333333333334,15.333333333333334,5.390322580645161,10.87978494623656,206.66666666666666,7.682771074448001,687357.0,3999.0,3907.2727272727275
43,2017-08-01,3906.0,2875.0,3005.0,11.0,73.6,4.97,1.76,626.0,126.0,4.8,9.99032258064516,5.235483870967743,410.3,False,False,True,False,8,3,3930.0,3807.0,3919.0,3881.0,-24.0,0.736047107014849,2985.0,126.55666666666666,617.3333333333334,14.0,4.754838709677417,9.96795698924731,274.7,7.35334803362899,1602631.8,3999.0,3940.818181818182
44,2017-09-01,3732.0,2737.0,2614.0,16.0,73.34,4.51,2.85,561.0,124.4,4.66,11.616666666666667,4.6466666666666665,118.7,False,False,False,True,9,3,3906.0,3930.0,3807.0,3856.0,-174.0,0.7333869239013934,2858.0,125.72333333333331,600.3333333333334,12.333333333333334,6.970000000000001,10.600179211469532,234.63333333333333,8.51951143265452,442988.4,3866.0,3834.090909090909
