,Fecha,Dias Cama Disponibles,Dias Cama Ocupados,Dias de Estada,Egresos Fallecidos,Indice Ocupacional,Indice de Rotación,Letalidad,Numero de Egresos,Promedio Cama Disponibles,Promedio Días de Estada,Temperatura Máxima,Temperatura Mínima,Precipitaciones (suma),Viento_E,Viento_S,Viento_SW,Viento_W,Mes,Trimestre,lag_1,lag_2,lag_3,media_movil_3,variacion_disponibles,porcentaje_ocupacion,ocupados_media_movil,promedio_media_movil,egresos_media_movil,egresos_fallecidos_media_movil,Diferencia Térmica,temp_max_movil,precipitacion_movil,interaccion_ocupacion_temp,interaccion_precipitacion_disp,same_month_last_year,hist_avg_mes
22,2015-11-01,2120.0,1393.0,1476.0,3.0,65.71,4.15,1.02,293.0,70.67,5.04,14.96,7.81,69.2,False,False,True,False,11,4,2201.0,2130.0,2207.0,2150.3333333333335,-81.0,0.6570754716981132,1438.3333333333333,70.89,303.6666666666667,6.666666666666667,7.150000000000001,12.96279569892473,75.29999999999998,9.829849056603774,146704.0,2126.0,2019.7272727272727
23,2015-12-01,2200.0,1173.0,1268.0,7.0,53.32,3.93,2.51,279.0,70.97,4.54,16.503225806451614,9.619354838709675,78.7,False,False,False,True,12,4,2120.0,2201.0,2130.0,2173.6666666666665,80.0,0.5331818181818182,1349.0,70.88000000000001,298.3333333333333,6.0,6.883870967741938,14.903870967741936,78.43333333333332,8.799219941348975,173140.0,2197.0,2124.5454545454545
24,2016-01-01,2180.0,1187.0,1183.0,10.0,54.45,3.81,3.73,268.0,70.32,4.41,20.141935483870967,11.229032258064516,37.2,False,False,True,False,1,1,2200.0,2120.0,2201.0,2166.6666666666665,-20.0,0.5444954128440367,1251.0,70.65333333333332,280.0,6.666666666666667,8.912903225806451,17.201720430107528,61.69999999999998,10.967191476768274,81096.0,2201.0,2111.3333333333335
25,2016-02-01,2034.0,1149.0,1164.0,3.0,56.49,3.92,1.09,275.0,70.14,4.23,18.542857142857144,10.946428571428571,37.7,False,False,False,True,2,1,2180.0,2200.0,2120.0,2138.0,-146.0,0.5648967551622419,1169.6666666666667,70.47666666666667,274.0,6.666666666666667,7.596428571428573,18.396006144393244,51.19999999999999,10.474799831437,76681.8,1988.0,1919.25
26,2016-03-01,2174.0,1365.0,1326.0,8.0,62.79,4.08,2.8,286.0,70.13,4.64,18.458064516129035,10.051612903225807,46.5,False,False,True,False,3,1,2034.0,2180.0,2200.0,2129.3333333333335,140.0,0.6278748850045999,1233.6666666666667,70.19666666666666,276.3333333333333,7.0,8.406451612903227,19.047619047619047,40.46666666666665,11.589355135472003,101091.0,2201.0,2123.7272727272725
27,2016-04-01,2099.0,1344.0,1418.0,8.0,64.03,4.0,2.86,280.0,69.97,5.06,14.256666666666666,7.1433333333333335,103.1,False,True,False,False,4,2,2174.0,2034.0,2180.0,2102.3333333333335,-75.0,0.6403049070986184,1286.0,70.08,280.3333333333333,6.333333333333333,7.113333333333332,17.085862775217617,62.433333333333316,9.12861362553597,216406.9,2130.0,2044.5454545454545
28,2016-05-01,2197.0,1256.0,1261.0,2.0,57.17,3.84,0.74,272.0,70.87,4.64,14.0,7.683870967741935,47.6,True,False,False,False,5,2,2099.0,2174.0,2034.0,2156.6666666666665,98.0,0.5716886663632226,1321.6666666666667,70.32333333333334,279.3333333333333,6.0,6.316129032258065,15.5715770609319,65.73333333333332,8.003641329085116,104577.2,2182.0,2131.2727272727275
29,2016-06-01,2117.0,1263.0,1323.0,3.0,59.66,3.9,1.09,275.0,70.57,4.81,10.89,5.16,44.2,False,False,True,False,6,2,2197.0,2099.0,2174.0,2137.6666666666665,-80.0,0.5965989607935758,1287.6666666666667,70.47000000000001,275.6666666666667,4.333333333333333,5.73,13.04888888888889,64.96666666666664,6.496962683042041,93571.40000000001,2130.0,2079.2727272727275
30,2016-07-01,2167.0,1418.0,1372.0,5.0,65.44,4.41,1.62,308.0,69.9,4.45,10.183870967741935,5.458064516129032,136.0,False,True,False,False,7,3,2117.0,2197.0,2099.0,2160.3333333333335,50.0,0.6543608675588372,1312.3333333333333,70.44666666666666,285.0,3.3333333333333335,4.725806451612903,11.691290322580643,75.93333333333332,6.663926641558867,294712.0,2195.0,2146.2727272727275
31,2016-08-01,2191.0,1569.0,1576.0,6.0,71.61,4.39,1.94,310.0,70.68,5.08,11.158064516129032,6.296774193548386,197.1,False,False,False,True,8,3,2167.0,2117.0,2197.0,2158.3333333333335,24.0,0.716111364673665,1416.6666666666667,70.38333333333333,297.6666666666667,4.666666666666667,4.861290322580646,10.743978494623656,125.76666666666665,7.990416807761958,431846.1,2207.0,2152.2727272727275
